#Master Train File - reduced_image_size
#Biplane, Eagle, Hang glider,

## Biplane - Virtual World
#windows platform, SL02310 Platform, SLO2319 Platform
C:/Users/daleas/Documents/AI_Learning_Images/, /mnt/data/AI_Learning_Images/, /mnt/data/Ashley_ML/AI_Learning_Images/

#image,image,top, right, bottom, left,label
plane/plane_320/beauty/BiPlaneCamera02_beauty.008.png,plane/plane_320/depth/BiPlaneCamera02_zDepth.008.png,170,171,65,38,plane
plane/plane_320/beauty/BiPlaneCamera02_beauty.010.png,plane/plane_320/depth/BiPlaneCamera02_zDepth.010.png,200,168,65,38,plane
plane/plane_320/beauty/BiPlaneCamera03beauty.001.png,plane/plane_320/depth/BiPlaneCamera03zDepth.001.png,50,101,61,47,plane
plane/plane_320/beauty/BiPlaneCamera03beauty.002.png,plane/plane_320/depth/BiPlaneCamera03zDepth.002.png,66,100,61,48,plane
plane/plane_320/beauty/BiPlaneCamera03beauty.003.png,plane/plane_320/depth/BiPlaneCamera03zDepth.003.png,84,99,60,49,plane
plane/plane_320/beauty/BiPlaneCamera03beauty.005.png,plane/plane_320/depth/BiPlaneCamera03zDepth.005.png,119,97,60,51,plane
plane/plane_320/beauty/BiPlaneCamera03beauty.006.png,plane/plane_320/depth/BiPlaneCamera03zDepth.006.png,138,97,59,50,plane
plane/plane_320/beauty/BiPlaneCamera03beauty.007.png,plane/plane_320/depth/BiPlaneCamera03zDepth.007.png,156,96,61,51,plane
plane/plane_320/beauty/BiPlaneCamera03beauty.008.png,plane/plane_320/depth/BiPlaneCamera03zDepth.008.png,175,95,62,52,plane
plane/plane_320/beauty/BiPlaneCamera03beauty.010.png,plane/plane_320/depth/BiPlaneCamera03zDepth.010.png,213,93,66,53,plane
plane/plane_320/beauty/BiPlaneCamera04_beauty.001.png,plane/plane_320/depth/BiPlaneCamera04_zDepth.001.png,158,157,48,15,plane
plane/plane_320/beauty/BiPlaneCamera04_beauty.002.png,plane/plane_320/depth/BiPlaneCamera04_zDepth.002.png,159,157,49,15,plane
plane/plane_320/beauty/BiPlaneCamera04_beauty.003.png,plane/plane_320/depth/BiPlaneCamera04_zDepth.003.png,159,157,52,15,plane
plane/plane_320/beauty/BiPlaneCamera04_beauty.005.png,plane/plane_320/depth/BiPlaneCamera04_zDepth.005.png,160,157,57,17,plane
plane/plane_320/beauty/BiPlaneCamera04_beauty.006.png,plane/plane_320/depth/BiPlaneCamera04_zDepth.006.png,160,158,59,18,plane
plane/plane_320/beauty/BiPlaneCamera04_beauty.007.png,plane/plane_320/depth/BiPlaneCamera04_zDepth.007.png,161,158,62,19,plane
plane/plane_320/beauty/BiPlaneCamera04_beauty.008.png,plane/plane_320/depth/BiPlaneCamera04_zDepth.008.png,162,158,65,19,plane
plane/plane_320/beauty/BiPlaneCamera04_beauty.010.png,plane/plane_320/depth/BiPlaneCamera04_zDepth.010.png,164,159,73,22,plane
plane/plane_320/beauty/BiPlaneCamera05_beauty.001.png,plane/plane_320/depth/BiPlaneCamera05_zDepth.001.png,142,229,48,40,plane
plane/plane_320/beauty/BiPlaneCamera05_beauty.002.png,plane/plane_320/depth/BiPlaneCamera05_zDepth.002.png,142,220,48,40,plane
plane/plane_320/beauty/BiPlaneCamera05_beauty.003.png,plane/plane_320/depth/BiPlaneCamera05_zDepth.003.png,142,211,47,39,plane
plane/plane_320/beauty/BiPlaneCamera05_beauty.005.png,plane/plane_320/depth/BiPlaneCamera05_zDepth.005.png,143,195,46,37,plane
plane/plane_320/beauty/BiPlaneCamera05_beauty.006.png,plane/plane_320/depth/BiPlaneCamera05_zDepth.006.png,143,186,45,37,plane
plane/plane_320/beauty/BiPlaneCamera05_beauty.007.png,plane/plane_320/depth/BiPlaneCamera05_zDepth.007.png,143,178,45,36,plane
plane/plane_320/beauty/BiPlaneCamera05_beauty.008.png,plane/plane_320/depth/BiPlaneCamera05_zDepth.008.png,143,170,45,36,plane
plane/plane_320/beauty/BiPlaneCamera05_beauty.010.png,plane/plane_320/depth/BiPlaneCamera05_zDepth.010.png,143,156,44,34,plane
plane/plane_320/beauty/BiPlaneCamera06_beauty.001.png,plane/plane_320/depth/BiPlaneCamera06_zDepth.001.png,168,192,141,103,plane
plane/plane_320/beauty/BiPlaneCamera06_beauty.002.png,plane/plane_320/depth/BiPlaneCamera06_zDepth.002.png,148,182,133,93,plane
plane/plane_320/beauty/BiPlaneCamera06_beauty.003.png,plane/plane_320/depth/BiPlaneCamera06_zDepth.003.png,131,174,126,84,plane
plane/plane_320/beauty/BiPlaneCamera06_beauty.005.png,plane/plane_320/depth/BiPlaneCamera06_zDepth.005.png,103,159,113,70,plane
plane/plane_320/beauty/BiPlaneCamera06_beauty.006.png,plane/plane_320/depth/BiPlaneCamera06_zDepth.006.png,90,153,108,64,plane
plane/plane_320/beauty/BiPlaneCamera06_beauty.007.png,plane/plane_320/depth/BiPlaneCamera06_zDepth.007.png,79,147,104,60,plane
plane/plane_320/beauty/BiPlaneCamera06_beauty.008.png,plane/plane_320/depth/BiPlaneCamera06_zDepth.008.png,70,142,98,55,plane
plane/plane_320/beauty/BiPlaneCamera06_beauty.010.png,plane/plane_320/depth/BiPlaneCamera06_zDepth.010.png,52,131,90,49,plane
plane/plane_320/beauty/BiPlaneCamera07_beauty.001.png,plane/plane_320/depth/BiPlaneCamera07_zDepth.001.png,197,223,99,41,plane
plane/plane_320/beauty/BiPlaneCamera07_beauty.002.png,plane/plane_320/depth/BiPlaneCamera07_zDepth.002.png,191,215,101,44,plane
plane/plane_320/beauty/BiPlaneCamera07_beauty.003.png,plane/plane_320/depth/BiPlaneCamera07_zDepth.003.png,184,207,105,47,plane
plane/plane_320/beauty/BiPlaneCamera07_beauty.005.png,plane/plane_320/depth/BiPlaneCamera07_zDepth.005.png,169,188,112,53,plane
plane/plane_320/beauty/BiPlaneCamera07_beauty.006.png,plane/plane_320/depth/BiPlaneCamera07_zDepth.006.png,158,178,118,56,plane
plane/plane_320/beauty/BiPlaneCamera07_beauty.007.png,plane/plane_320/depth/BiPlaneCamera07_zDepth.007.png,149,166,123,62,plane
plane/plane_320/beauty/BiPlaneCamera07_beauty.008.png,plane/plane_320/depth/BiPlaneCamera07_zDepth.008.png,138,152,129,67,plane
plane/plane_320/beauty/BiPlaneCamera07_beauty.010.png,plane/plane_320/depth/BiPlaneCamera07_zDepth.010.png,112,119,140,83,plane
plane/plane_320/beauty/BiPlaneCamera08_beauty.001.png,plane/plane_320/depth/BiPlaneCamera08_zDepth.001.png,119,116,20,11,plane
plane/plane_320/beauty/BiPlaneCamera08_beauty.002.png,plane/plane_320/depth/BiPlaneCamera08_zDepth.002.png,111,116,21,11,plane
plane/plane_320/beauty/BiPlaneCamera08_beauty.003.png,plane/plane_320/depth/BiPlaneCamera08_zDepth.003.png,103,116,21,11,plane
plane/plane_320/beauty/BiPlaneCamera08_beauty.005.png,plane/plane_320/depth/BiPlaneCamera08_zDepth.005.png,88,116,20,11,plane
plane/plane_320/beauty/BiPlaneCamera08_beauty.006.png,plane/plane_320/depth/BiPlaneCamera08_zDepth.006.png,81,116,20,11,plane
plane/plane_320/beauty/BiPlaneCamera08_beauty.007.png,plane/plane_320/depth/BiPlaneCamera08_zDepth.007.png,73,116,20,11,plane
plane/plane_320/beauty/BiPlaneCamera08_beauty.008.png,plane/plane_320/depth/BiPlaneCamera08_zDepth.008.png,66,115,20,12,plane
plane/plane_320/beauty/BiPlaneCamera08_beauty.010.png,plane/plane_320/depth/BiPlaneCamera08_zDepth.010.png,50,115,21,12,plane
plane/plane_320/beauty/BiPlaneCamera09_beauty.001.png,plane/plane_320/depth/BiPlaneCamera09_zDepth.001.png,11,66,66,24,plane
plane/plane_320/beauty/BiPlaneCamera09_beauty.002.png,plane/plane_320/depth/BiPlaneCamera09_zDepth.002.png,37,66,64,24,plane
plane/plane_320/beauty/BiPlaneCamera09_beauty.003.png,plane/plane_320/depth/BiPlaneCamera09_zDepth.003.png,62,66,62,24,plane
plane/plane_320/beauty/BiPlaneCamera09_beauty.005.png,plane/plane_320/depth/BiPlaneCamera09_zDepth.005.png,110,65,59,23,plane
plane/plane_320/beauty/BiPlaneCamera09_beauty.006.png,plane/plane_320/depth/BiPlaneCamera09_zDepth.006.png,133,65,58,23,plane
plane/plane_320/beauty/BiPlaneCamera09_beauty.007.png,plane/plane_320/depth/BiPlaneCamera09_zDepth.007.png,156,65,59,23,plane
plane/plane_320/beauty/BiPlaneCamera09_beauty.008.png,plane/plane_320/depth/BiPlaneCamera09_zDepth.008.png,178,65,59,23,plane
plane/plane_320/beauty/BiPlaneCamera09_beauty.010.png,plane/plane_320/depth/BiPlaneCamera09_zDepth.010.png,220,65,60,22,plane
plane/plane_320/beauty/BiPlaneCamera10_beauty.001.png,plane/plane_320/depth/BiPlaneCamera10_zDepth.001.png,245,49,46,26,plane
plane/plane_320/beauty/BiPlaneCamera10_beauty.002.png,plane/plane_320/depth/BiPlaneCamera10_zDepth.002.png,246,53,45,25,plane
plane/plane_320/beauty/BiPlaneCamera10_beauty.003.png,plane/plane_320/depth/BiPlaneCamera10_zDepth.003.png,249,63,42,23,plane
plane/plane_320/beauty/BiPlaneCamera10_beauty.005.png,plane/plane_320/depth/BiPlaneCamera10_zDepth.005.png,258,88,34,17,plane
plane/plane_320/beauty/BiPlaneCamera10_beauty.006.png,plane/plane_320/depth/BiPlaneCamera10_zDepth.006.png,261,99,31,15,plane
plane/plane_320/beauty/BiPlaneCamera10_beauty.007.png,plane/plane_320/depth/BiPlaneCamera10_zDepth.007.png,264,108,29,13,plane
plane/plane_320/beauty/BiPlaneCamera10_beauty.008.png,plane/plane_320/depth/BiPlaneCamera10_zDepth.008.png,267,115,27,12,plane
plane/plane_320/beauty/BiPlaneCamera10_beauty.010.png,plane/plane_320/depth/BiPlaneCamera10_zDepth.010.png,269,123,25,11,plane
plane/plane_320/beauty/BiPlaneCamera11_beauty.001.png,plane/plane_320/depth/BiPlaneCamera11_zDepth.001.png,224,141,22,13,plane
plane/plane_320/beauty/BiPlaneCamera11_beauty.002.png,plane/plane_320/depth/BiPlaneCamera11_zDepth.002.png,222,139,22,13,plane
plane/plane_320/beauty/BiPlaneCamera11_beauty.003.png,plane/plane_320/depth/BiPlaneCamera11_zDepth.003.png,216,132,22,14,plane
plane/plane_320/beauty/BiPlaneCamera11_beauty.005.png,plane/plane_320/depth/BiPlaneCamera11_zDepth.005.png,194,107,24,16,plane
plane/plane_320/beauty/BiPlaneCamera11_beauty.006.png,plane/plane_320/depth/BiPlaneCamera11_zDepth.006.png,179,89,25,18,plane
plane/plane_320/beauty/BiPlaneCamera11_beauty.007.png,plane/plane_320/depth/BiPlaneCamera11_zDepth.007.png,162,69,25,20,plane
plane/plane_320/beauty/BiPlaneCamera11_beauty.008.png,plane/plane_320/depth/BiPlaneCamera11_zDepth.008.png,145,48,26,23,plane
plane/plane_320/beauty/BiPlaneCamera11_beauty.010.png,plane/plane_320/depth/BiPlaneCamera11_zDepth.010.png,117,15,27,28,plane
plane/plane_320/beauty/BiPlaneCamera12_beauty.001.png,plane/plane_320/depth/BiPlaneCamera12_zDepth.001.png,115,110,12,7,plane
plane/plane_320/beauty/BiPlaneCamera12_beauty.002.png,plane/plane_320/depth/BiPlaneCamera12_zDepth.002.png,119,114,12,7,plane
plane/plane_320/beauty/BiPlaneCamera12_beauty.003.png,plane/plane_320/depth/BiPlaneCamera12_zDepth.003.png,129,123,11,6,plane
#plane/plane_320/beauty/BiPlaneCamera12_beauty.005.png,plane/plane_320/depth/BiPlaneCamera12_zDepth.005.png,153,146,9,5,plane
#plane/plane_320/beauty/BiPlaneCamera12_beauty.006.png,plane/plane_320/depth/BiPlaneCamera12_zDepth.006.png,164,157,8,4,plane
#plane/plane_320/beauty/BiPlaneCamera12_beauty.007.png,plane/plane_320/depth/BiPlaneCamera12_zDepth.007.png,172,165,8,4,plane
#plane/plane_320/beauty/BiPlaneCamera12_beauty.008.png,plane/plane_320/depth/BiPlaneCamera12_zDepth.008.png,179,172,7,3,plane
#plane/plane_320/beauty/BiPlaneCamera12_beauty.010.png,plane/plane_320/depth/BiPlaneCamera12_zDepth.010.png,187,179,6,3,plane
plane/plane_320/beauty/BiPlaneCamera13_beauty.001.png,plane/plane_320/depth/BiPlaneCamera13_zDepth.001.png,175,6,18,15,plane
plane/plane_320/beauty/BiPlaneCamera13_beauty.002.png,plane/plane_320/depth/BiPlaneCamera13_zDepth.002.png,175,13,19,16,plane
plane/plane_320/beauty/BiPlaneCamera13_beauty.003.png,plane/plane_320/depth/BiPlaneCamera13_zDepth.003.png,174,35,19,15,plane
plane/plane_320/beauty/BiPlaneCamera13_beauty.005.png,plane/plane_320/depth/BiPlaneCamera13_zDepth.005.png,171,107,20,15,plane
plane/plane_320/beauty/BiPlaneCamera13_beauty.006.png,plane/plane_320/depth/BiPlaneCamera13_zDepth.006.png,170,150,19,15,plane
plane/plane_320/beauty/BiPlaneCamera13_beauty.007.png,plane/plane_320/depth/BiPlaneCamera13_zDepth.007.png,168,193,20,15,plane
plane/plane_320/beauty/BiPlaneCamera13_beauty.008.png,plane/plane_320/depth/BiPlaneCamera13_zDepth.008.png,166,234,20,15,plane
plane/plane_320/beauty/BiPlaneCamera13_beauty.010.png,plane/plane_320/depth/BiPlaneCamera13_zDepth.010.png,164,290,20,16,plane
plane/plane_320/beauty/BiPlaneCamera14_beauty.001.png,plane/plane_320/depth/BiPlaneCamera14_zDepth.001.png,95,6,180,74,plane
plane/plane_320/beauty/BiPlaneCamera14_beauty.002.png,plane/plane_320/depth/BiPlaneCamera14_zDepth.002.png,90,15,136,57,plane
plane/plane_320/beauty/BiPlaneCamera14_beauty.003.png,plane/plane_320/depth/BiPlaneCamera14_zDepth.003.png,83,30,82,36,plane
plane/plane_320/beauty/BiPlaneCamera14_beauty.005.png,plane/plane_320/depth/BiPlaneCamera14_zDepth.005.png,77,42,37,16,plane
plane/plane_320/beauty/BiPlaneCamera14_beauty.006.png,plane/plane_320/depth/BiPlaneCamera14_zDepth.006.png,76,44,27,13,plane
plane/plane_320/beauty/BiPlaneCamera14_beauty.007.png,plane/plane_320/depth/BiPlaneCamera14_zDepth.007.png,76,46,22,10,plane
plane/plane_320/beauty/BiPlaneCamera14_beauty.008.png,plane/plane_320/depth/BiPlaneCamera14_zDepth.008.png,75,47,19,8,plane
plane/plane_320/beauty/BiPlaneCamera14_beauty.010.png,plane/plane_320/depth/BiPlaneCamera14_zDepth.010.png,75,48,15,7,plane
#plane/plane_320/beauty/BiPlaneCamera15_beauty.001.png,plane/plane_320/depth/BiPlaneCamera15_zDepth.001.png,10,128,6,2,plane
#plane/plane_320/beauty/BiPlaneCamera15_beauty.002.png,plane/plane_320/depth/BiPlaneCamera15_zDepth.002.png,12,128,5,2,plane
#plane/plane_320/beauty/BiPlaneCamera15_beauty.003.png,plane/plane_320/depth/BiPlaneCamera15_zDepth.003.png,18,128,5,2,plane
#plane/plane_320/beauty/BiPlaneCamera15_beauty.005.png,plane/plane_320/depth/BiPlaneCamera15_zDepth.005.png,36,128,5,2,plane
#plane/plane_320/beauty/BiPlaneCamera15_beauty.006.png,plane/plane_320/depth/BiPlaneCamera15_zDepth.006.png,47,129,4,2,plane
#plane/plane_320/beauty/BiPlaneCamera15_beauty.007.png,plane/plane_320/depth/BiPlaneCamera15_zDepth.007.png,59,129,4,2,plane
#plane/plane_320/beauty/BiPlaneCamera15_beauty.008.png,plane/plane_320/depth/BiPlaneCamera15_zDepth.008.png,69,129,5,2,plane
#plane/plane_320/beauty/BiPlaneCamera15_beauty.010.png,plane/plane_320/depth/BiPlaneCamera15_zDepth.010.png,84,129,4,2,plane

## Eagle - Virtual World
#image,image,top, right, bottom, left,label
eagle/eagleBeauty_256/eagleCamera01_beauty.0001.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0001.png,42,39,17,21,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0002.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0002.png,42,39,17,23,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0003.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0003.png,42,39,18,21,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0005.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0005.png,44,38,18,19,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0006.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0006.png,45,38,19,21,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0007.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0007.png,46,41,19,20,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0008.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0008.png,49,42,16,23,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0010.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0010.png,51,50,17,19,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0011.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0011.png,52,52,17,21,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0012.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0012.png,54,54,18,20,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0013.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0013.png,57,53,18,23,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0015.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0015.png,63,58,18,17,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0016.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0016.png,64,58,19,18,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0017.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0017.png,69,60,18,16,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0018.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0018.png,72,59,16,17,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0020.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0020.png,78,60,17,18,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0021.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0021.png,80,60,18,21,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0022.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0022.png,83,62,18,19,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0023.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0023.png,86,62,18,22,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0025.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0025.png,94,72,13,15,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0026.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0026.png,96,75,17,17,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0027.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0027.png,98,78,17,17,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0028.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0028.png,100,78,18,19,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0030.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0030.png,107,84,15,15,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0031.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0031.png,110,84,14,15,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0032.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0032.png,112,88,17,11,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0033.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0033.png,117,88,13,11,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0035.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0035.png,122,88,15,13,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0036.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0036.png,125,89,12,12,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0037.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0037.png,126,87,14,17,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0038.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0038.png,130,91,13,13,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0040.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0040.png,134,97,15,10,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0041.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0041.png,134,100,17,8,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0042.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0042.png,138,104,13,8,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0043.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0043.png,138,104,16,9,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0045.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0045.png,144,104,14,15,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0046.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0046.png,146,106,13,12,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0047.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0047.png,147,106,15,12,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0048.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0048.png,148,108,15,9,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0050.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0050.png,151,107,14,9,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0051.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0051.png,152,107,15,10,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0052.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0052.png,153,107,15,13,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0053.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0053.png,153,106,17,14,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0055.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0055.png,154,108,17,13,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0056.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0056.png,155,110,18,11,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0057.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0057.png,156,112,16,9,eagle
eagle/eagleBeauty_256/eagleCamera01_beauty.0058.png,eagle/eagleZdepth_256/eagleCamera01_zDepth.0058.png,158,113,13,10,eagle
eagle/eagleBeauty_256/eagleCamera02_beauty.0000.png,eagle/eagleZdepth_256/eagleCamera02_zDepth.0000.png,221,121,36,12,eagle
eagle/eagleBeauty_256/eagleCamera02_beauty.0001.png,eagle/eagleZdepth_256/eagleCamera02_zDepth.0001.png,221,122,35,13,eagle
eagle/eagleBeauty_256/eagleCamera02_beauty.0002.png,eagle/eagleZdepth_256/eagleCamera02_zDepth.0002.png,225,123,31,10,eagle
eagle/eagleBeauty_256/eagleCamera02_beauty.0003.png,eagle/eagleZdepth_256/eagleCamera02_zDepth.0003.png,225,119,30,13,eagle
eagle/eagleBeauty_256/eagleCamera02_beauty.0005.png,eagle/eagleZdepth_256/eagleCamera02_zDepth.0005.png,226,115,29,18,eagle
eagle/eagleBeauty_256/eagleCamera02_beauty.0006.png,eagle/eagleZdepth_256/eagleCamera02_zDepth.0006.png,225,115,29,18,eagle
eagle/eagleBeauty_256/eagleCamera02_beauty.0007.png,eagle/eagleZdepth_256/eagleCamera02_zDepth.0007.png,223,116,31,15,eagle
eagle/eagleBeauty_256/eagleCamera02_beauty.0008.png,eagle/eagleZdepth_256/eagleCamera02_zDepth.0008.png,223,117,32,15,eagle
eagle/eagleBeauty_256/eagleCamera02_beauty.0010.png,eagle/eagleZdepth_256/eagleCamera02_zDepth.0010.png,223,123,31,12,eagle
eagle/eagleBeauty_256/eagleCamera02_beauty.0011.png,eagle/eagleZdepth_256/eagleCamera02_zDepth.0011.png,221,123,32,15,eagle
eagle/eagleBeauty_256/eagleCamera02_beauty.0012.png,eagle/eagleZdepth_256/eagleCamera02_zDepth.0012.png,222,121,30,20,eagle
eagle/eagleBeauty_256/eagleCamera02_beauty.0013.png,eagle/eagleZdepth_256/eagleCamera02_zDepth.0013.png,223,123,28,18,eagle
eagle/eagleBeauty_256/eagleCamera02_beauty.0015.png,eagle/eagleZdepth_256/eagleCamera02_zDepth.0015.png,222,122,27,15,eagle
eagle/eagleBeauty_256/eagleCamera02_beauty.0016.png,eagle/eagleZdepth_256/eagleCamera02_zDepth.0016.png,219,122,29,13,eagle
eagle/eagleBeauty_256/eagleCamera02_beauty.0017.png,eagle/eagleZdepth_256/eagleCamera02_zDepth.0017.png,217,119,31,13,eagle
eagle/eagleBeauty_256/eagleCamera02_beauty.0018.png,eagle/eagleZdepth_256/eagleCamera02_zDepth.0018.png,215,118,33,14,eagle
eagle/eagleBeauty_256/eagleCamera02_beauty.0020.png,eagle/eagleZdepth_256/eagleCamera02_zDepth.0020.png,214,111,30,20,eagle
eagle/eagleBeauty_256/eagleCamera02_beauty.0021.png,eagle/eagleZdepth_256/eagleCamera02_zDepth.0021.png,211,110,32,21,eagle
